,PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Cabin,Male,Female,Cherbourg,Queenstown,Southamptom
0,1,0,3,1.0,1,0,7.25,0,1,0,0,0,1
1,2,1,1,2.0,1,0,71.2833,C85,0,1,1,0,0
2,3,1,3,3.0,0,0,7.925,0,0,1,0,0,1
3,4,1,1,4.0,1,0,53.1,C123,0,1,0,0,1
4,5,0,3,5.0,0,0,8.05,0,1,0,0,0,1
5,6,0,3,6.0,0,0,8.4583,0,1,0,0,1,0
6,7,0,1,7.0,0,0,51.8625,E46,1,0,0,0,1
7,8,0,3,8.0,3,1,21.075,0,1,0,0,0,1
8,9,1,3,9.0,0,2,11.1333,0,0,1,0,0,1
9,10,1,2,10.0,1,0,30.0708,0,0,1,1,0,0
10,11,1,3,11.0,1,1,16.7,G6,0,1,0,0,1
11,12,1,1,12.0,0,0,26.55,C103,0,1,0,0,1
12,13,0,3,13.0,0,0,8.05,0,1,0,0,0,1
13,14,0,3,14.0,1,5,31.275,0,1,0,0,0,1
14,15,0,3,15.0,0,0,7.8542,0,0,1,0,0,1
15,16,1,2,16.0,0,0,16.0,0,0,1,0,0,1
16,17,0,3,17.0,4,1,29.125,0,1,0,0,1,0
17,18,1,2,18.0,0,0,13.0,0,1,0,0,0,1
18,19,0,3,19.0,1,0,18.0,0,0,1,0,0,1
19,20,1,3,20.0,0,0,7.225,0,0,1,1,0,0
20,21,0,2,21.0,0,0,26.0,0,1,0,0,0,1
21,22,1,2,22.0,0,0,13.0,D56,1,0,0,0,1
22,23,1,3,23.0,0,0,8.0292,0,0,1,0,1,0
23,24,1,1,24.0,0,0,35.5,A6,1,0,0,0,1
24,25,0,3,25.0,3,1,21.075,0,0,1,0,0,1
25,26,1,3,26.0,1,5,31.3875,0,0,1,0,0,1
26,27,0,3,27.0,0,0,7.225,0,1,0,1,0,0
27,28,0,1,28.0,3,2,263.0,C23 C25 C27,1,0,0,0,1
28,29,1,3,29.0,0,0,7.8792,0,0,1,0,1,0
29,30,0,3,30.0,0,0,7.8958,0,1,0,0,0,1
30,31,0,1,31.0,0,0,27.7208,0,1,0,1,0,0
31,32,1,1,32.0,1,0,146.5208,B78,0,1,1,0,0
32,33,1,3,33.0,0,0,7.75,0,0,1,0,1,0
33,34,0,2,34.0,0,0,10.5,0,1,0,0,0,1
34,35,0,1,35.0,1,0,82.1708,0,1,0,1,0,0
35,36,0,1,36.0,1,0,52.0,0,1,0,0,0,1
36,37,1,3,37.0,0,0,7.2292,0,1,0,1,0,0
37,38,0,3,38.0,0,0,8.05,0,1,0,0,0,1
38,39,0,3,39.0,2,0,18.0,0,0,1,0,0,1
39,40,1,3,40.0,1,0,11.2417,0,0,1,1,0,0
40,41,0,3,41.0,1,0,9.475,0,0,1,0,0,1
41,42,0,2,42.0,1,0,21.0,0,0,1,0,0,1
42,43,0,3,43.0,0,0,7.8958,0,1,0,1,0,0
43,44,1,2,44.0,1,2,41.5792,0,0,1,1,0,0
44,45,1,3,45.0,0,0,7.8792,0,0,1,0,1,0
45,46,0,3,46.0,0,0,8.05,0,1,0,0,0,1
46,47,0,3,47.0,1,0,15.5,0,1,0,0,1,0
47,48,1,3,48.0,0,0,7.75,0,0,1,0,1,0
48,49,0,3,49.0,2,0,21.6792,0,1,0,1,0,0
49,50,0,3,50.0,1,0,17.8,0,0,1,0,0,1
50,51,0,3,51.0,4,1,39.6875,0,1,0,0,0,1
51,52,0,3,52.0,0,0,7.8,0,1,0,0,0,1
52,53,1,1,53.0,1,0,76.7292,D33,0,1,1,0,0
53,54,1,2,54.0,1,0,26.0,0,0,1,0,0,1
54,55,0,1,55.0,0,1,61.9792,B30,1,0,1,0,0
55,56,1,1,56.0,0,0,35.5,C52,1,0,0,0,1
56,57,1,2,57.0,0,0,10.5,0,0,1,0,0,1
57,58,0,3,58.0,0,0,7.2292,0,1,0,1,0,0
58,59,1,2,59.0,1,2,27.75,0,0,1,0,0,1
59,60,0,3,60.0,5,2,46.9,0,1,0,0,0,1
60,61,0,3,61.0,0,0,7.2292,0,1,0,1,0,0
62,63,0,1,63.0,1,0,83.475,C83,1,0,0,0,1
63,64,0,3,64.0,3,2,27.9,0,1,0,0,0,1
64,65,0,1,65.0,0,0,27.7208,0,1,0,1,0,0
65,66,1,3,66.0,1,1,15.2458,0,1,0,1,0,0
66,67,1,2,67.0,0,0,10.5,F33,0,1,0,0,1
67,68,0,3,68.0,0,0,8.1583,0,1,0,0,0,1
68,69,1,3,69.0,4,2,7.925,0,0,1,0,0,1
69,70,0,3,70.0,2,0,8.6625,0,1,0,0,0,1
70,71,0,2,71.0,0,0,10.5,0,1,0,0,0,1
71,72,0,3,72.0,5,2,46.9,0,0,1,0,0,1
72,73,0,2,73.0,0,0,73.5,0,1,0,0,0,1
73,74,0,3,74.0,1,0,14.4542,0,1,0,1,0,0
74,75,1,3,75.0,0,0,56.4958,0,1,0,0,0,1
75,76,0,3,76.0,0,0,7.65,F G73,1,0,0,0,1
76,77,0,3,77.0,0,0,7.8958,0,1,0,0,0,1
77,78,0,3,78.0,0,0,8.05,0,1,0,0,0,1
78,79,1,2,79.0,0,2,29.0,0,1,0,0,0,1
79,80,1,3,80.0,0,0,12.475,0,0,1,0,0,1
80,81,0,3,81.0,0,0,9.0,0,1,0,0,0,1
81,82,1,3,82.0,0,0,9.5,0,1,0,0,0,1
82,83,1,3,83.0,0,0,7.7875,0,0,1,0,1,0
83,84,0,1,84.0,0,0,47.1,0,1,0,0,0,1
84,85,1,2,85.0,0,0,10.5,0,0,1,0,0,1
85,86,1,3,86.0,3,0,15.85,0,0,1,0,0,1
86,87,0,3,87.0,1,3,34.375,0,1,0,0,0,1
87,88,0,3,88.0,0,0,8.05,0,1,0,0,0,1
88,89,1,1,89.0,3,2,263.0,C23 C25 C27,0,1,0,0,1
